theta,t_c,gp_mean,L_true
8.000,0.100,0.0251,0.0000
8.600,0.100,0.0176,0.0000
9.200,0.100,0.0108,0.0000
9.800,0.100,0.0048,0.0000
10.400,0.100,-0.0004,0.0000
11.000,0.100,-0.0047,0.0000
11.600,0.100,-0.0083,0.0000
12.200,0.100,-0.0110,0.0000
12.800,0.100,-0.0129,0.0000
13.400,0.100,-0.0139,0.0000
14.000,0.100,-0.0143,0.0000
14.600,0.100,-0.0138,0.0000
15.200,0.100,-0.0128,0.0000
15.800,0.100,-0.0111,0.0000
16.400,0.100,-0.0090,0.0000
17.000,0.100,-0.0063,0.0000
17.600,0.100,-0.0034,0.0000
18.200,0.100,-0.0002,0.0000
18.800,0.100,0.0032,0.0000
19.400,0.100,0.0067,0.0000
20.000,0.100,0.0101,0.0000
20.600,0.100,0.0135,0.0000
21.200,0.100,0.0166,0.0000
21.800,0.100,0.0195,0.0000
22.400,0.100,0.0221,0.0000
23.000,0.100,0.0243,0.0000
23.600,0.100,0.0260,0.0000
24.200,0.100,0.0272,0.0000
24.800,0.100,0.0279,0.0000
25.400,0.100,0.0281,0.0000
26.000,0.100,0.0278,0.0000
26.600,0.100,0.0269,0.0000
27.200,0.100,0.0254,0.0000
27.800,0.100,0.0235,0.0000
28.400,0.100,0.0211,0.0000
29.000,0.100,0.0183,0.0000
29.600,0.100,0.0152,0.0000
30.200,0.100,0.0117,0.0000
30.800,0.100,0.0080,0.0000
31.400,0.100,0.0040,0.0000
32.000,0.100,0.0000,0.0000
8.000,0.138,0.0072,0.0000
8.600,0.138,-0.0031,0.0000
9.200,0.138,-0.0125,0.0000
9.800,0.138,-0.0210,0.0000
10.400,0.138,-0.0286,0.0000
11.000,0.138,-0.0351,0.0000
11.600,0.138,-0.0407,0.0000
12.200,0.138,-0.0452,0.0000
12.800,0.138,-0.0486,0.0000
13.400,0.138,-0.0511,0.0000
14.000,0.138,-0.0525,0.0000
14.600,0.138,-0.0530,0.0000
15.200,0.138,-0.0526,0.0000
15.800,0.138,-0.0513,0.0000
16.400,0.138,-0.0493,0.0000
17.000,0.138,-0.0467,0.0000
17.600,0.138,-0.0435,0.0000
18.200,0.138,-0.0398,0.0000
18.800,0.138,-0.0357,0.0000
19.400,0.138,-0.0314,0.0000
20.000,0.138,-0.0270,0.0000
20.600,0.138,-0.0225,0.0000
21.200,0.138,-0.0181,0.0000
21.800,0.138,-0.0139,0.0000
22.400,0.138,-0.0098,0.0000
23.000,0.138,-0.0062,0.0000
23.600,0.138,-0.0029,0.0000
24.200,0.138,-0.0000,0.0000
24.800,0.138,0.0023,0.0000
25.400,0.138,0.0041,0.0000
26.000,0.138,0.0053,0.0000
26.600,0.138,0.0060,0.0000
27.200,0.138,0.0061,0.0000
27.800,0.138,0.0056,0.0000
28.400,0.138,0.0046,0.0000
29.000,0.138,0.0031,0.0000
29.600,0.138,0.0012,0.0000
30.200,0.138,-0.0011,0.0000
30.800,0.138,-0.0038,0.0000
31.400,0.138,-0.0067,0.0000
32.000,0.138,-0.0098,0.0000
8.000,0.175,0.0005,0.0000
8.600,0.175,-0.0126,0.0000
9.200,0.175,-0.0248,0.0000
9.800,0.175,-0.0360,0.0000
10.400,0.175,-0.0461,0.0000
11.000,0.175,-0.0551,0.0000
11.600,0.175,-0.0628,0.0000
12.200,0.175,-0.0693,0.0000
12.800,0.175,-0.0746,0.0000
13.400,0.175,-0.0787,0.0000
14.000,0.175,-0.0815,0.0000
14.600,0.175,-0.0831,0.0000
15.200,0.175,-0.0837,0.0000
15.800,0.175,-0.0831,0.0000
16.400,0.175,-0.0816,0.0000
17.000,0.175,-0.0792,0.0000
17.600,0.175,-0.0761,0.0000
18.200,0.175,-0.0722,0.0000
18.800,0.175,-0.0678,0.0000
19.400,0.175,-0.0630,0.0000
20.000,0.175,-0.0579,0.0000
20.600,0.175,-0.0525,0.0000
21.200,0.175,-0.0471,0.0000
21.800,0.175,-0.0418,0.0000
22.400,0.175,-0.0365,0.0000
23.000,0.175,-0.0316,0.0000
23.600,0.175,-0.0269,0.0000
24.200,0.175,-0.0227,0.0000
24.800,0.175,-0.0190,0.0000
25.400,0.175,-0.0158,0.0000
26.000,0.175,-0.0131,0.0000
26.600,0.175,-0.0111,0.0000
27.200,0.175,-0.0097,0.0000
27.800,0.175,-0.0088,0.0000
28.400,0.175,-0.0086,0.0000
29.000,0.175,-0.0089,0.0000
29.600,0.175,-0.0097,0.0000
30.200,0.175,-0.0110,0.0000
30.800,0.175,-0.0127,0.0000
31.400,0.175,-0.0148,0.0000
32.000,0.175,-0.0171,0.0000
8.000,0.212,0.0060,0.0000
8.600,0.212,-0.0100,0.0000
9.200,0.212,-0.0250,0.0000
9.800,0.212,-0.0389,0.0000
10.400,0.212,-0.0517,0.0000
11.000,0.212,-0.0631,0.0000
11.600,0.212,-0.0733,0.0000
12.200,0.212,-0.0820,0.0000
12.800,0.212,-0.0893,0.0000
13.400,0.212,-0.0952,0.0000
14.000,0.212,-0.0997,0.0000
14.600,0.212,-0.1028,0.0000
15.200,0.212,-0.1046,0.0000
15.800,0.212,-0.1051,0.0000
16.400,0.212,-0.1044,0.0000
17.000,0.212,-0.1026,0.0000
17.600,0.212,-0.0998,0.0000
18.200,0.212,-0.0961,0.0000
18.800,0.212,-0.0917,0.0000
19.400,0.212,-0.0866,0.0000
20.000,0.212,-0.0811,0.0000
20.600,0.212,-0.0753,0.0000
21.200,0.212,-0.0692,0.0000
21.800,0.212,-0.0631,0.0000
22.400,0.212,-0.0570,0.0000
23.000,0.212,-0.0510,0.0000
23.600,0.212,-0.0454,0.0000
24.200,0.212,-0.0400,0.0000
24.800,0.212,-0.0352,0.0000
25.400,0.212,-0.0308,0.0000
26.000,0.212,-0.0270,0.0000
26.600,0.212,-0.0238,0.0000
27.200,0.212,-0.0213,0.0000
27.800,0.212,-0.0194,0.0000
28.400,0.212,-0.0181,0.0000
29.000,0.212,-0.0174,0.0000
29.600,0.212,-0.0173,0.0000
30.200,0.212,-0.0177,0.0000
30.800,0.212,-0.0186,0.0000
31.400,0.212,-0.0200,0.0000
32.000,0.212,-0.0217,0.0000
8.000,0.250,0.0242,0.0308
8.600,0.250,0.0054,0.0241
9.200,0.250,-0.0125,0.0173
9.800,0.250,-0.0292,0.0106
10.400,0.250,-0.0447,0.0067
11.000,0.250,-0.0588,0.0042
11.600,0.250,-0.0714,0.0017
12.200,0.250,-0.0825,0.0000
12.800,0.250,-0.0921,0.0000
13.400,0.250,-0.1000,0.0000
14.000,0.250,-0.1064,0.0000
14.600,0.250,-0.1112,0.0000
15.200,0.250,-0.1145,0.0000
15.800,0.250,-0.1163,0.0000
16.400,0.250,-0.1167,0.0000
17.000,0.250,-0.1158,0.0000
17.600,0.250,-0.1137,0.0000
18.200,0.250,-0.1106,0.0000
18.800,0.250,-0.1065,0.0000
19.400,0.250,-0.1016,0.0000
20.000,0.250,-0.0961,0.0000
20.600,0.250,-0.0901,0.0000
21.200,0.250,-0.0837,0.0000
21.800,0.250,-0.0772,0.0000
22.400,0.250,-0.0705,0.0000
23.000,0.250,-0.0640,0.0000
23.600,0.250,-0.0576,0.0000
24.200,0.250,-0.0515,0.0000
24.800,0.250,-0.0459,0.0000
25.400,0.250,-0.0407,0.0000
26.000,0.250,-0.0360,0.0000
26.600,0.250,-0.0320,0.0000
27.200,0.250,-0.0285,0.0000
27.800,0.250,-0.0258,0.0000
28.400,0.250,-0.0237,0.0000
29.000,0.250,-0.0222,0.0000
29.600,0.250,-0.0214,0.0000
30.200,0.250,-0.0212,0.0000
30.800,0.250,-0.0215,0.0000
31.400,0.250,-0.0223,0.0000
32.000,0.250,-0.0236,0.0000
8.000,0.287,0.0545,0.0771
8.600,0.287,0.0329,0.0602
9.200,0.287,0.0122,0.0433
9.800,0.287,-0.0072,0.0265
10.400,0.287,-0.0254,0.0167
11.000,0.287,-0.0422,0.0104
11.600,0.287,-0.0574,0.0042
12.200,0.287,-0.0710,0.0000
12.800,0.287,-0.0829,0.0000
13.400,0.287,-0.0931,0.0000
14.000,0.287,-0.1016,0.0000
14.600,0.287,-0.1083,0.0000
15.200,0.287,-0.1133,0.0000
15.800,0.287,-0.1167,0.0000
16.400,0.287,-0.1185,0.0000
17.000,0.287,-0.1188,0.0000
17.600,0.287,-0.1178,0.0000
18.200,0.287,-0.1155,0.0000
18.800,0.287,-0.1122,0.0000
19.400,0.287,-0.1078,0.0000
20.000,0.287,-0.1027,0.0000
20.600,0.287,-0.0969,0.0000
21.200,0.287,-0.0906,0.0000
21.800,0.287,-0.0840,0.0000
22.400,0.287,-0.0772,0.0000
23.000,0.287,-0.0704,0.0000
23.600,0.287,-0.0636,0.0000
24.200,0.287,-0.0572,0.0000
24.800,0.287,-0.0510,0.0000
25.400,0.287,-0.0453,0.0000
26.000,0.287,-0.0401,0.0000
26.600,0.287,-0.0355,0.0000
27.200,0.287,-0.0315,0.0000
27.800,0.287,-0.0282,0.0000
28.400,0.287,-0.0256,0.0000
29.000,0.287,-0.0236,0.0000
29.600,0.287,-0.0224,0.0000
30.200,0.287,-0.0217,0.0000
30.800,0.287,-0.0216,0.0000
31.400,0.287,-0.0221,0.0000
32.000,0.287,-0.0230,0.0000
8.000,0.325,0.0954,0.1233
8.600,0.325,0.0711,0.0963
9.200,0.325,0.0479,0.0693
9.800,0.325,0.0257,0.0423
10.400,0.325,0.0049,0.0267
11.000,0.325,-0.0145,0.0167
11.600,0.325,-0.0323,0.0067
12.200,0.325,-0.0484,0.0000
12.800,0.325,-0.0628,0.0000
13.400,0.325,-0.0753,0.0000
14.000,0.325,-0.0860,0.0000
14.600,0.325,-0.0948,0.0000
15.200,0.325,-0.1018,0.0000
15.800,0.325,-0.1070,0.0000
16.400,0.325,-0.1105,0.0000
17.000,0.325,-0.1123,0.0000
17.600,0.325,-0.1126,0.0000
18.200,0.325,-0.1115,0.0000
18.800,0.325,-0.1092,0.0000
19.400,0.325,-0.1057,0.0000
20.000,0.325,-0.1012,0.0000
20.600,0.325,-0.0960,0.0000
21.200,0.325,-0.0902,0.0000
21.800,0.325,-0.0839,0.0000
22.400,0.325,-0.0773,0.0000
23.000,0.325,-0.0706,0.0000
23.600,0.325,-0.0639,0.0000
24.200,0.325,-0.0573,0.0000
24.800,0.325,-0.0510,0.0000
25.400,0.325,-0.0451,0.0000
26.000,0.325,-0.0397,0.0000
26.600,0.325,-0.0349,0.0000
27.200,0.325,-0.0306,0.0000
27.800,0.325,-0.0270,0.0000
28.400,0.325,-0.0241,0.0000
29.000,0.325,-0.0219,0.0000
29.600,0.325,-0.0204,0.0000
30.200,0.325,-0.0195,0.0000
30.800,0.325,-0.0193,0.0000
31.400,0.325,-0.0196,0.0000
32.000,0.325,-0.0204,0.0000
8.000,0.363,0.1447,0.1692
8.600,0.363,0.1181,0.1352
9.200,0.363,0.0924,0.1012
9.800,0.363,0.0678,0.0672
10.400,0.363,0.0444,0.0469
11.000,0.363,0.0225,0.0335
11.600,0.363,0.0021,0.0202
12.200,0.363,-0.0165,0.0104
12.800,0.363,-0.0333,0.0079
13.400,0.363,-0.0483,0.0054
14.000,0.363,-0.0613,0.0029
14.600,0.363,-0.0723,0.0020
15.200,0.363,-0.0814,0.0012
15.800,0.363,-0.0886,0.0003
16.400,0.363,-0.0939,0.0000
17.000,0.363,-0.0974,0.0000
17.600,0.363,-0.0993,0.0000
18.200,0.363,-0.0996,0.0000
18.800,0.363,-0.0986,0.0000
19.400,0.363,-0.0962,0.0000
20.000,0.363,-0.0928,0.0000
20.600,0.363,-0.0885,0.0000
21.200,0.363,-0.0834,0.0000
21.800,0.363,-0.0777,0.0000
22.400,0.363,-0.0717,0.0000
23.000,0.363,-0.0654,0.0000
23.600,0.363,-0.0590,0.0000
24.200,0.363,-0.0527,0.0000
24.800,0.363,-0.0466,0.0000
25.400,0.363,-0.0408,0.0000
26.000,0.363,-0.0355,0.0000
26.600,0.363,-0.0307,0.0000
27.200,0.363,-0.0264,0.0000
27.800,0.363,-0.0229,0.0000
28.400,0.363,-0.0199,0.0000
29.000,0.363,-0.0177,0.0000
29.600,0.363,-0.0162,0.0000
30.200,0.363,-0.0153,0.0000
30.800,0.363,-0.0150,0.0000
31.400,0.363,-0.0153,0.0000
32.000,0.363,-0.0162,0.0000
8.000,0.400,0.1999,0.2142
8.600,0.400,0.1712,0.1794
9.200,0.400,0.1432,0.1447
9.800,0.400,0.1163,0.1099
10.400,0.400,0.0905,0.0877
11.000,0.400,0.0662,0.0717
11.600,0.400,0.0434,0.0557
12.200,0.400,0.0224,0.0417
12.800,0.400,0.0032,0.0317
13.400,0.400,-0.0141,0.0217
14.000,0.400,-0.0294,0.0117
14.600,0.400,-0.0427,0.0082
15.200,0.400,-0.0540,0.0047
15.800,0.400,-0.0632,0.0012
16.400,0.400,-0.0705,0.0000
17.000,0.400,-0.0759,0.0000
17.600,0.400,-0.0795,0.0000
18.200,0.400,-0.0815,0.0000
18.800,0.400,-0.0819,0.0000
19.400,0.400,-0.0810,0.0000
20.000,0.400,-0.0788,0.0000
20.600,0.400,-0.0756,0.0000
21.200,0.400,-0.0715,0.0000
21.800,0.400,-0.0667,0.0000
22.400,0.400,-0.0615,0.0000
23.000,0.400,-0.0559,0.0000
23.600,0.400,-0.0501,0.0000
24.200,0.400,-0.0443,0.0000
24.800,0.400,-0.0387,0.0000
25.400,0.400,-0.0333,0.0000
26.000,0.400,-0.0283,0.0000
26.600,0.400,-0.0238,0.0000
27.200,0.400,-0.0198,0.0000
27.800,0.400,-0.0164,0.0000
28.400,0.400,-0.0137,0.0000
29.000,0.400,-0.0116,0.0000
29.600,0.400,-0.0103,0.0000
30.200,0.400,-0.0095,0.0000
30.800,0.400,-0.0095,0.0000
31.400,0.400,-0.0100,0.0000
32.000,0.400,-0.0110,0.0000
8.000,0.438,0.2579,0.2592
8.600,0.438,0.2273,0.2237
9.200,0.438,0.1974,0.1882
9.800,0.438,0.1684,0.1527
10.400,0.438,0.1405,0.1284
11.000,0.438,0.1140,0.1098
11.600,0.438,0.0890,0.0912
12.200,0.438,0.0656,0.0729
12.800,0.438,0.0441,0.0554
13.400,0.438,0.0246,0.0379
14.000,0.438,0.0071,0.0204
14.600,0.438,-0.0084,0.0143
15.200,0.438,-0.0218,0.0082
15.800,0.438,-0.0332,0.0020
16.400,0.438,-0.0425,0.0000
17.000,0.438,-0.0498,0.0000
17.600,0.438,-0.0552,0.0000
18.200,0.438,-0.0589,0.0000
18.800,0.438,-0.0610,0.0000
19.400,0.438,-0.0615,0.0000
20.000,0.438,-0.0608,0.0000
20.600,0.438,-0.0589,0.0000
21.200,0.438,-0.0560,0.0000
21.800,0.438,-0.0523,0.0000
22.400,0.438,-0.0480,0.0000
23.000,0.438,-0.0433,0.0000
23.600,0.438,-0.0384,0.0000
24.200,0.438,-0.0333,0.0000
24.800,0.438,-0.0284,0.0000
25.400,0.438,-0.0236,0.0000
26.000,0.438,-0.0191,0.0000
26.600,0.438,-0.0150,0.0000
27.200,0.438,-0.0115,0.0000
27.800,0.438,-0.0085,0.0000
28.400,0.438,-0.0062,0.0000
29.000,0.438,-0.0045,0.0000
29.600,0.438,-0.0034,0.0000
30.200,0.438,-0.0030,0.0000
30.800,0.438,-0.0033,0.0000
31.400,0.438,-0.0041,0.0000
32.000,0.438,-0.0054,0.0000
8.000,0.475,0.3156,0.3042
8.600,0.475,0.2835,0.2679
9.200,0.475,0.2519,0.2317
9.800,0.475,0.2211,0.1954
10.400,0.475,0.1914,0.1692
11.000,0.475,0.1629,0.1479
11.600,0.475,0.1359,0.1267
12.200,0.475,0.1105,0.1042
12.800,0.475,0.0869,0.0792
13.400,0.475,0.0653,0.0542
14.000,0.475,0.0457,0.0292
14.600,0.475,0.0281,0.0204
15.200,0.475,0.0127,0.0117
15.800,0.475,-0.0007,0.0029
16.400,0.475,-0.0119,0.0000
17.000,0.475,-0.0212,0.0000
17.600,0.475,-0.0284,0.0000
18.200,0.475,-0.0339,0.0000
18.800,0.475,-0.0376,0.0000
19.400,0.475,-0.0397,0.0000
20.000,0.475,-0.0405,0.0000
