eval,search,best_leak
0,geometry -> zenith drop,0.0000
1,geometry -> zenith drop,0.0000
2,geometry -> zenith drop,0.0000
3,geometry -> zenith drop,0.0000
4,geometry -> zenith drop,0.7125
5,geometry -> zenith drop,0.7125
6,geometry -> zenith drop,0.7125
7,geometry -> zenith drop,0.7125
8,geometry -> zenith drop,0.7125
9,geometry -> zenith drop,0.7125
10,geometry -> zenith drop,0.7125
11,geometry -> zenith drop,0.7125
12,geometry -> zenith drop,0.7125
13,geometry -> zenith drop,0.7125
14,geometry -> zenith drop,0.8675
15,geometry -> zenith drop,0.8675
16,geometry -> zenith drop,0.8675
17,geometry -> zenith drop,0.8675
18,geometry -> zenith drop,0.8675
19,geometry -> zenith drop,0.8675
20,geometry -> zenith drop,1.0000
21,geometry -> zenith drop,1.0000
22,geometry -> zenith drop,1.0000
23,geometry -> zenith drop,1.0000
24,geometry -> zenith drop,1.0000
25,geometry -> zenith drop,1.0000
26,geometry -> zenith drop,1.0000
27,geometry -> zenith drop,1.0000
28,geometry -> zenith drop,1.0000
29,geometry -> zenith drop,1.0000
30,geometry -> zenith drop,1.0000
31,geometry -> zenith drop,1.0000
32,geometry -> zenith drop,1.0000
33,geometry -> zenith drop,1.0000
34,geometry -> zenith drop,1.0000
35,geometry -> zenith drop,1.0000
36,geometry -> zenith drop,1.0000
37,geometry -> zenith drop,1.0000
38,geometry -> zenith drop,1.0000
39,geometry -> zenith drop,1.0000
40,geometry -> zenith drop,1.0000
41,geometry -> zenith drop,1.0000
42,geometry -> zenith drop,1.0000
43,geometry -> zenith drop,1.0000
44,geometry -> zenith drop,1.0000
45,geometry -> zenith drop,1.0000
46,geometry -> zenith drop,1.0000
47,geometry -> zenith drop,1.0000
48,geometry -> zenith drop,1.0000
49,geometry -> zenith drop,1.0000
50,geometry -> zenith drop,1.0000
51,geometry -> zenith drop,1.0000
52,geometry -> zenith drop,1.0000
53,geometry -> zenith drop,1.0000
54,geometry -> zenith drop,1.0000
55,geometry -> zenith drop,1.0000
56,geometry -> zenith drop,1.0000
57,geometry -> zenith drop,1.0000
58,geometry -> zenith drop,1.0000
59,geometry -> zenith drop,1.0000
60,geometry -> zenith drop,1.0000
61,geometry -> zenith drop,1.0000
62,geometry -> zenith drop,1.0000
63,geometry -> zenith drop,1.0000
64,geometry -> zenith drop,1.0000
65,geometry -> zenith drop,1.0000
66,geometry -> zenith drop,1.0000
