x,ccdf
0.0000,1.000000
0.0005,0.091000
0.0011,0.091000
0.0016,0.091000
0.0022,0.091000
0.0027,0.091000
0.0032,0.091000
0.0038,0.091000
0.0043,0.091000
0.0048,0.091000
0.0054,0.091000
0.0059,0.091000
0.0065,0.091000
0.0070,0.091000
0.0075,0.091000
0.0081,0.091000
0.0086,0.091000
0.0092,0.091000
0.0097,0.091000
0.0102,0.091000
0.0108,0.091000
0.0113,0.091000
0.0119,0.091000
0.0124,0.091000
0.0129,0.091000
0.0135,0.091000
0.0140,0.091000
0.0145,0.091000
0.0151,0.091000
0.0156,0.091000
0.0162,0.091000
0.0167,0.033000
0.0172,0.033000
0.0178,0.033000
0.0183,0.033000
0.0189,0.033000
0.0194,0.033000
0.0199,0.033000
0.0205,0.033000
0.0210,0.033000
0.0215,0.033000
0.0221,0.033000
0.0226,0.033000
0.0232,0.033000
0.0237,0.033000
0.0242,0.033000
0.0248,0.033000
0.0253,0.033000
0.0259,0.033000
0.0264,0.033000
0.0269,0.033000
0.0275,0.033000
0.0280,0.033000
0.0286,0.033000
0.0291,0.033000
0.0296,0.033000
0.0302,0.033000
0.0307,0.033000
0.0312,0.033000
0.0318,0.033000
0.0323,0.033000
0.0329,0.033000
0.0334,0.011667
0.0339,0.011667
0.0345,0.011667
0.0350,0.011667
0.0356,0.011667
0.0361,0.011667
0.0366,0.011667
0.0372,0.011667
0.0377,0.011667
0.0382,0.011667
0.0388,0.011667
0.0393,0.011667
0.0399,0.011667
0.0404,0.011667
0.0409,0.011667
0.0415,0.011667
0.0420,0.011667
0.0426,0.011667
0.0431,0.011667
0.0436,0.011667
0.0442,0.011667
0.0447,0.011667
0.0453,0.011667
0.0458,0.011667
0.0463,0.011667
0.0469,0.011667
0.0474,0.011667
0.0479,0.011667
0.0485,0.011667
0.0490,0.011667
0.0496,0.011667
0.0501,0.004000
0.0506,0.004000
0.0512,0.004000
0.0517,0.004000
0.0523,0.004000
0.0528,0.004000
0.0533,0.004000
0.0539,0.004000
0.0544,0.004000
0.0549,0.004000
0.0555,0.004000
0.0560,0.004000
0.0566,0.004000
0.0571,0.004000
0.0576,0.004000
0.0582,0.004000
0.0587,0.004000
0.0593,0.004000
0.0598,0.004000
0.0603,0.004000
0.0609,0.004000
0.0614,0.004000
0.0619,0.004000
0.0625,0.004000
0.0630,0.004000
0.0636,0.004000
0.0641,0.004000
0.0646,0.004000
0.0652,0.004000
0.0657,0.004000
0.0663,0.004000
0.0668,0.000000
0.0673,0.000000
0.0679,0.000000
0.0684,0.000000
0.0690,0.000000
0.0695,0.000000
0.0700,0.000000
0.0706,0.000000
0.0711,0.000000
0.0716,0.000000
0.0722,0.000000
0.0727,0.000000
0.0733,0.000000
0.0738,0.000000
0.0743,0.000000
0.0749,0.000000
0.0754,0.000000
0.0760,0.000000
0.0765,0.000000
0.0770,0.000000
0.0776,0.000000
0.0781,0.000000
0.0786,0.000000
0.0792,0.000000
0.0797,0.000000
0.0803,0.000000
0.0808,0.000000
0.0813,0.000000
0.0819,0.000000
0.0824,0.000000
0.0830,0.000000
0.0835,0.000000
0.0840,0.000000
0.0846,0.000000
0.0851,0.000000
0.0857,0.000000
0.0862,0.000000
0.0867,0.000000
0.0873,0.000000
0.0878,0.000000
0.0883,0.000000
0.0889,0.000000
0.0894,0.000000
0.0900,0.000000
0.0905,0.000000
0.0910,0.000000
0.0916,0.000000
0.0921,0.000000
0.0927,0.000000
0.0932,0.000000
0.0937,0.000000
0.0943,0.000000
0.0948,0.000000
0.0953,0.000000
0.0959,0.000000
0.0964,0.000000
0.0970,0.000000
0.0975,0.000000
0.0980,0.000000
0.0986,0.000000
0.0991,0.000000
0.0997,0.000000
0.1002,0.000000
0.1007,0.000000
0.1013,0.000000
0.1018,0.000000
0.1024,0.000000
0.1029,0.000000
0.1034,0.000000
0.1040,0.000000
0.1045,0.000000
0.1050,0.000000
0.1056,0.000000
0.1061,0.000000
0.1067,0.000000
0.1072,0.000000
