alt_bin,hard_bin,leak,apogee,hardening_db,el_center,v,seam
3,1,0.880,1286,4.1,56,26,1
5,3,0.082,1747,14.4,86,33,0
4,0,0.985,1340,1.2,48,23,1
1,5,0.000,351,20.7,50,64,0
0,0,0.085,57,3.0,61,115,1
2,5,0.028,721,24.0,51,20,1
4,2,0.013,1380,10.1,76,20,1
1,2,0.968,455,10.4,72,34,0
5,1,0.434,2000,5.0,62,24,1
4,1,0.634,1390,5.9,46,20,1
0,2,1.000,301,10.8,71,54,0
2,1,0.950,923,4.9,44,20,1
3,5,0.018,1069,21.2,52,20,1
2,3,0.333,874,12.4,69,34,1
4,4,0.009,1594,19.3,88,30,1
5,5,0.000,1855,23.2,6,147,1
5,0,0.044,1920,3.5,84,28,1
3,2,0.096,1278,9.0,39,20,1
3,0,0.992,1214,0.7,88,32,1
2,2,0.205,680,9.8,49,20,1
3,3,0.048,1225,15.2,57,27,1
2,4,0.103,843,18.0,44,20,1
4,5,0.010,1439,20.0,74,20,1
1,1,1.000,412,4.1,63,121,0
1,3,0.969,388,12.6,48,33,1
0,3,1.000,203,12.2,49,44,0
0,5,1.000,52,20.7,84,37,0
0,1,1.000,203,7.7,38,38,0
5,2,0.155,2000,9.0,49,20,1
1,0,1.000,535,0.0,65,125,1
5,4,0.009,2000,17.5,80,20,1
4,3,0.009,1527,15.1,88,20,1
0,4,1.000,0,17.3,79,50,0
3,4,0.092,1009,17.0,53,23,0
1,4,0.504,493,16.5,53,30,0
2,0,1.000,796,0.0,88,36,1
