theta,t_c,leak,Sigma
8.000,0.100,0.0000,0.6850
8.000,0.200,0.0000,1.3701
8.000,0.300,0.0813,2.0551
8.000,0.400,0.2625,2.7401
8.000,0.500,0.3625,3.4252
8.000,0.600,0.4375,4.1102
8.000,0.700,0.5125,4.7952
8.000,0.800,0.5687,5.4802
8.000,0.900,0.6000,6.1653
8.000,1.000,0.6375,6.8503
8.000,1.100,0.6500,7.5353
8.000,1.200,0.6750,8.2204
8.000,1.300,0.7000,8.9054
8.000,1.400,0.7250,9.5904
8.000,1.500,0.7500,10.2755
8.000,1.600,0.7500,10.9605
9.500,0.100,0.0000,0.4861
9.500,0.200,0.0000,0.9722
9.500,0.300,0.0125,1.4583
9.500,0.400,0.1938,1.9444
9.500,0.500,0.2938,2.4305
9.500,0.600,0.4000,2.9166
9.500,0.700,0.4812,3.4027
9.500,0.800,0.5188,3.8889
9.500,0.900,0.5687,4.3750
9.500,1.000,0.6000,4.8611
9.500,1.100,0.6125,5.3472
9.500,1.200,0.6375,5.8333
9.500,1.300,0.6625,6.3194
9.500,1.400,0.6875,6.8055
9.500,1.500,0.7125,7.2916
9.500,1.600,0.7125,7.7777
11.000,0.100,0.0000,0.3629
11.000,0.200,0.0000,0.7257
11.000,0.300,0.0000,1.0886
11.000,0.400,0.0750,1.4514
11.000,0.500,0.1688,1.8143
11.000,0.600,0.2750,2.1771
11.000,0.700,0.3563,2.5400
11.000,0.800,0.4000,2.9028
11.000,0.900,0.4875,3.2657
11.000,1.000,0.5250,3.6285
11.000,1.100,0.5500,3.9914
11.000,1.200,0.5750,4.3543
11.000,1.300,0.5875,4.7171
11.000,1.400,0.6188,5.0800
11.000,1.500,0.6438,5.4428
11.000,1.600,0.6438,5.8057
12.500,0.100,0.0000,0.2812
12.500,0.200,0.0000,0.5625
12.500,0.300,0.0000,0.8437
12.500,0.400,0.0250,1.1250
12.500,0.500,0.1125,1.4062
12.500,0.600,0.2000,1.6875
12.500,0.700,0.2938,1.9687
12.500,0.800,0.3250,2.2500
12.500,0.900,0.3812,2.5312
12.500,1.000,0.4313,2.8125
12.500,1.100,0.4563,3.0937
12.500,1.200,0.5000,3.3750
12.500,1.300,0.5188,3.6562
12.500,1.400,0.5437,3.9375
12.500,1.500,0.5625,4.2187
12.500,1.600,0.5625,4.4999
14.000,0.100,0.0000,0.2244
14.000,0.200,0.0000,0.4489
14.000,0.300,0.0000,0.6733
14.000,0.400,0.0000,0.8977
14.000,0.500,0.0500,1.1222
14.000,0.600,0.1187,1.3466
14.000,0.700,0.2125,1.5710
14.000,0.800,0.2625,1.7955
14.000,0.900,0.3187,2.0199
14.000,1.000,0.3750,2.2443
14.000,1.100,0.4000,2.4688
14.000,1.200,0.4313,2.6932
14.000,1.300,0.4625,2.9176
14.000,1.400,0.4937,3.1421
14.000,1.500,0.5250,3.3665
14.000,1.600,0.5250,3.5910
15.500,0.100,0.0000,0.1833
15.500,0.200,0.0000,0.3666
15.500,0.300,0.0000,0.5499
15.500,0.400,0.0000,0.7332
15.500,0.500,0.0000,0.9165
15.500,0.600,0.0562,1.0998
15.500,0.700,0.1375,1.2831
15.500,0.800,0.2062,1.4664
15.500,0.900,0.2687,1.6497
15.500,1.000,0.3250,1.8330
15.500,1.100,0.3500,2.0163
15.500,1.200,0.3750,2.1996
15.500,1.300,0.3938,2.3829
15.500,1.400,0.4250,2.5662
15.500,1.500,0.4437,2.7496
15.500,1.600,0.4500,2.9329
17.000,0.100,0.0000,0.1526
17.000,0.200,0.0000,0.3051
17.000,0.300,0.0000,0.4577
17.000,0.400,0.0000,0.6103
17.000,0.500,0.0000,0.7629
17.000,0.600,0.0188,0.9154
17.000,0.700,0.0875,1.0680
17.000,0.800,0.1250,1.2206
17.000,0.900,0.1750,1.3731
17.000,1.000,0.2375,1.5257
17.000,1.100,0.2625,1.6783
17.000,1.200,0.3250,1.8309
17.000,1.300,0.3500,1.9834
17.000,1.400,0.3688,2.1360
17.000,1.500,0.3812,2.2886
17.000,1.600,0.3812,2.4412
18.500,0.100,0.0000,0.1290
18.500,0.200,0.0000,0.2580
18.500,0.300,0.0000,0.3870
18.500,0.400,0.0000,0.5160
18.500,0.500,0.0000,0.6450
18.500,0.600,0.0000,0.7740
18.500,0.700,0.0188,0.9031
18.500,0.800,0.0750,1.0321
18.500,0.900,0.1187,1.1611
18.500,1.000,0.2062,1.2901
18.500,1.100,0.2313,1.4191
18.500,1.200,0.2500,1.5481
18.500,1.300,0.3063,1.6771
18.500,1.400,0.3313,1.8061
18.500,1.500,0.3375,1.9351
18.500,1.600,0.3375,2.0641
20.000,0.100,0.0000,0.1105
20.000,0.200,0.0000,0.2211
20.000,0.300,0.0000,0.3316
20.000,0.400,0.0000,0.4422
20.000,0.500,0.0000,0.5527
20.000,0.600,0.0000,0.6633
20.000,0.700,0.0063,0.7738
20.000,0.800,0.0437,0.8844
20.000,0.900,0.0750,0.9949
20.000,1.000,0.1437,1.1054
20.000,1.100,0.1812,1.2160
20.000,1.200,0.1875,1.3265
20.000,1.300,0.2438,1.4371
20.000,1.400,0.2687,1.5476
20.000,1.500,0.2687,1.6582
20.000,1.600,0.2687,1.7687
21.500,0.100,0.0000,0.0958
21.500,0.200,0.0000,0.1916
21.500,0.300,0.0000,0.2874
21.500,0.400,0.0000,0.3832
21.500,0.500,0.0000,0.4790
21.500,0.600,0.0000,0.5749
21.500,0.700,0.0000,0.6707
21.500,0.800,0.0250,0.7665
21.500,0.900,0.0375,0.8623
21.500,1.000,0.0813,0.9581
21.500,1.100,0.1125,1.0539
21.500,1.200,0.1437,1.1497
21.500,1.300,0.2000,1.2455
21.500,1.400,0.2437,1.3413
21.500,1.500,0.2500,1.4371
21.500,1.600,0.2500,1.5330
23.000,0.100,0.0000,0.0839
23.000,0.200,0.0000,0.1677
23.000,0.300,0.0000,0.2516
23.000,0.400,0.0000,0.3355
23.000,0.500,0.0000,0.4193
23.000,0.600,0.0000,0.5032
23.000,0.700,0.0000,0.5870
23.000,0.800,0.0063,0.6709
23.000,0.900,0.0187,0.7548
23.000,1.000,0.0563,0.8386
23.000,1.100,0.0875,0.9225
23.000,1.200,0.1125,1.0064
23.000,1.300,0.1688,1.0902
23.000,1.400,0.2062,1.1741
23.000,1.500,0.2313,1.2579
23.000,1.600,0.2313,1.3418
24.500,0.100,0.0000,0.0740
24.500,0.200,0.0000,0.1481
24.500,0.300,0.0000,0.2221
24.500,0.400,0.0000,0.2962
24.500,0.500,0.0000,0.3702
24.500,0.600,0.0000,0.4443
24.500,0.700,0.0000,0.5183
24.500,0.800,0.0000,0.5923
24.500,0.900,0.0063,0.6664
24.500,1.000,0.0250,0.7404
24.500,1.100,0.0688,0.8145
24.500,1.200,0.0938,0.8885
24.500,1.300,0.1250,0.9625
24.500,1.400,0.1313,1.0366
24.500,1.500,0.1875,1.1106
24.500,1.600,0.1875,1.1847
26.000,0.100,0.0000,0.0659
26.000,0.200,0.0000,0.1317
26.000,0.300,0.0000,0.1976
26.000,0.400,0.0000,0.2635
26.000,0.500,0.0000,0.3294
26.000,0.600,0.0000,0.3952
26.000,0.700,0.0000,0.4611
26.000,0.800,0.0000,0.5270
26.000,0.900,0.0000,0.5929
26.000,1.000,0.0063,0.6587
26.000,1.100,0.0187,0.7246
26.000,1.200,0.0312,0.7905
26.000,1.300,0.0563,0.8563
26.000,1.400,0.0812,0.9222
26.000,1.500,0.1250,0.9881
26.000,1.600,0.1250,1.0540
27.500,0.100,0.0000,0.0590
27.500,0.200,0.0000,0.1180
27.500,0.300,0.0000,0.1770
27.500,0.400,0.0000,0.2360
27.500,0.500,0.0000,0.2950
27.500,0.600,0.0000,0.3540
27.500,0.700,0.0000,0.4130
27.500,0.800,0.0000,0.4720
27.500,0.900,0.0000,0.5310
27.500,1.000,0.0000,0.5900
27.500,1.100,0.0063,0.6490
27.500,1.200,0.0187,0.7080
27.500,1.300,0.0250,0.7670
27.500,1.400,0.0375,0.8260
27.500,1.500,0.0688,0.8850
27.500,1.600,0.0688,0.9440
29.000,0.100,0.0000,0.0532
29.000,0.200,0.0000,0.1063
29.000,0.300,0.0000,0.1595
29.000,0.400,0.0000,0.2127
29.000,0.500,0.0000,0.2659
29.000,0.600,0.0000,0.3190
29.000,0.700,0.0000,0.3722
29.000,0.800,0.0000,0.4254
29.000,0.900,0.0000,0.4785
29.000,1.000,0.0000,0.5317
29.000,1.100,0.0063,0.5849
29.000,1.200,0.0125,0.6381
29.000,1.300,0.0187,0.6912
29.000,1.400,0.0312,0.7444
29.000,1.500,0.0500,0.7976
29.000,1.600,0.0500,0.8507
30.500,0.100,0.0000,0.0482
30.500,0.200,0.0000,0.0964
30.500,0.300,0.0000,0.1445
30.500,0.400,0.0000,0.1927
30.500,0.500,0.0000,0.2409
30.500,0.600,0.0000,0.2891
30.500,0.700,0.0000,0.3373
30.500,0.800,0.0000,0.3854
30.500,0.900,0.0000,0.4336
30.500,1.000,0.0000,0.4818
30.500,1.100,0.0000,0.5300
30.500,1.200,0.0000,0.5782
30.500,1.300,0.0063,0.6263
30.500,1.400,0.0188,0.6745
30.500,1.500,0.0312,0.7227
30.500,1.600,0.0312,0.7709
32.000,0.100,0.0000,0.0439
32.000,0.200,0.0000,0.0877
32.000,0.300,0.0000,0.1316
32.000,0.400,0.0000,0.1755
32.000,0.500,0.0000,0.2194
32.000,0.600,0.0000,0.2632
32.000,0.700,0.0000,0.3071
32.000,0.800,0.0000,0.3510
32.000,0.900,0.0000,0.3949
32.000,1.000,0.0000,0.4387
32.000,1.100,0.0000,0.4826
32.000,1.200,0.0000,0.5265
32.000,1.300,0.0000,0.5704
32.000,1.400,0.0063,0.6142
32.000,1.500,0.0125,0.6581
32.000,1.600,0.0125,0.7020
